URI,Title,RecordId,Coin Type URI,From Date,To Date,Artist,SubjectEvent,SubjectIssuer,SubjectPerson,SubjectPlace,Authority,Coin Type,Degree,Deity,Denomination,Department,Dynasty,Engraver,Issuer,Maker,Manufacture,Material,Mint,Object Type,Portrait,Reference,Region,Script,State,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Date on Object,Ah,Axis,Diameter,Weight,Thumbnail_obv,Thumbnail_rev,Date Record Modified
http://numismatics.org/collection/1959.165.228,"Silver dirham of Möngke Khan, Tiflis, 656 H. 1959.165.228",1959.165.228,,1258.0,1258.0,,,,,,Möngke Khan,,,,dirham,Islamic,Great Mongols,,,,,Silver,Tiflis,Coin,,,Caucasus,,,,,,,,656.0,,,2.568,http://numismatics.org/collectionimages/19501999/1959/1959.165.228.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.228.rev.width175.jpg,2020-07-31T01:09:02Z
http://numismatics.org/collection/1959.165.229,"Silver dirham of Möngke Khan, Tiflis, 658 H. 1959.165.229",1959.165.229,,1259.0,1260.0,,,,,,Möngke Khan,,,,dirham,Islamic,Great Mongols,,,,,Silver,Tiflis,Coin,,,Caucasus,,,,,,,,658.0,,,2.414,http://numismatics.org/collectionimages/19501999/1959/1959.165.229.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.229.rev.width175.jpg,2020-07-31T01:09:30Z
http://numismatics.org/collection/1959.165.230,"Silver dirham of Möngke Khan, Tiflis, xxx H. 1959.165.230",1959.165.230,,1251.0,1260.0,,,,,,Möngke Khan,,,,dirham,Islamic,Great Mongols,,,,,Silver,Tiflis,Coin,,,Caucasus,,,,,,,,,,,2.1,http://numismatics.org/collectionimages/19501999/1959/1959.165.230.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.230.rev.width175.jpg,2020-07-31T01:09:30Z
http://numismatics.org/collection/1959.165.231,"Silver dirham of Möngke Khan, Tiflis, Jumada II xxx H. 1959.165.231",1959.165.231,,1251.0,1260.0,,,,,,Möngke Khan,,,,dirham,Islamic,Great Mongols,,,,,Silver,Tiflis,Coin,,,Caucasus,,,,,,,,,,,2.338,http://numismatics.org/collectionimages/19501999/1959/1959.165.231.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.231.rev.width175.jpg,2020-07-31T01:08:23Z
http://numismatics.org/collection/1959.165.260,"Silver dirham, Samsun, 724 H. 1959.165.260",1959.165.260,,1323.0,1324.0,,,,,,,,,,dirham,Islamic,Ilkhan,,,,,Silver,Samsun,Coin,,,Anatolia,,,,,,,,724.0,,,1.623,http://numismatics.org/collectionimages/19501999/1959/1959.165.260.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.260.rev.width175.jpg,2020-07-31T01:14:27Z
http://numismatics.org/collection/1959.165.300,"Copper alloy fals of Anushirwan, x, xxx H. 1959.165.300",1959.165.300,,1345.0,1353.0,,,,,,Anushirwan,,,,fals,Islamic,Ilkhan,,,,,Copper alloy,x,Coin,,,uncertain,,,,,,,,,,13.0,1.058,http://numismatics.org/collectionimages/19501999/1959/1959.165.300.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.300.rev.width175.jpg,2020-07-31T01:09:51Z
http://numismatics.org/collection/1959.165.305,"Copper alloy fals, x, xxx H. 1959.165.305",1959.165.305,,1256.0,1353.0,,,,,,,,,,fals,Islamic,Ilkhan,,,,,Copper alloy,x,Coin,,,uncertain,,,,,,,,,,,,http://numismatics.org/collectionimages/19501999/1959/1959.165.305.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.305.rev.width175.jpg,2020-07-31T01:14:35Z
http://numismatics.org/collection/1959.165.31,"Copper alloy fals of Yazid b. Usayd, Barda`a/Bardha`a, 142 H. 1959.165.31",1959.165.31,,759.0,760.0,,,,,,Yazid b. Usayd,,,,fals,Islamic,`Abbasid,,,,,Copper alloy,Barda`a||Bardha`a,Coin,,Album 315,Caucasus,,,,,,,,142.0,9.0,21.0,1.603,http://numismatics.org/collectionimages/19501999/1959/1959.165.31.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.31.rev.width175.jpg,2020-07-31T01:09:28Z
http://numismatics.org/collection/1959.165.316,"Copper alloy fals, Samarqand, 82[3] H. 1959.165.316",1959.165.316,,1420.0,1421.0,,,,,,,,,,fals,Islamic,Timurid,,,,,Copper alloy,Samarqand,Coin,,,Central Asia,,,,,,,,,,25.0,4.054,http://numismatics.org/collectionimages/19501999/1959/1959.165.316.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.316.rev.width175.jpg,2020-07-31T01:13:23Z
http://numismatics.org/collection/1959.165.319,"Silver dirham of Selim II Sari, Baghdad, [974] H. 1959.165.319",1959.165.319,,1566.0,1574.0,,,,,,Selim II Sari,,,,dirham,Islamic,Ottoman,,,,,Silver,Baghdad,Coin,,,Mashriq,,Ottoman Empire,,,,,,,,21.0,3.772,http://numismatics.org/collectionimages/19501999/1959/1959.165.319.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.319.rev.width175.jpg,2020-07-31T01:09:19Z
http://numismatics.org/collection/1959.165.32,"Copper alloy fals of al-Hasan, Barda`a/Bardha`a, 158 H. 1959.165.32",1959.165.32,,774.0,775.0,,,,,,al-Hasan,,,,fals,Islamic,`Abbasid,,,,,Copper alloy,Barda`a||Bardha`a,Coin,,"Pakhomov, Moneti Azerbaidzhana, pp 72-73Album.315",Caucasus,,,,,,,,158.0,,,,http://numismatics.org/collectionimages/19501999/1959/1959.165.32.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1959/1959.165.32.rev.width175.jpg,2020-07-31T01:11:44Z
http://numismatics.org/collection/1977.135.17,"Silver 1/2 drahm of `Umar (A), TPWRSTAN, 779 - 780. 1977.135.17",1977.135.17,,779.0,780.0,,,,,,`Umar (A),,,,1/2 drahm,Islamic,`Abbasid Governor,,,,,Silver,TPWRSTAN,Coin,,Album 56,Mashriq,,,,,,,,,,,,http://numismatics.org/collectionimages/19501999/1977/1977.135.17.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1977/1977.135.17.rev.width175.jpg,2020-07-31T01:13:48Z
http://numismatics.org/collection/1977.135.186,"Silver dirham of Muhammad III, nm, 1187 H. 1977.135.186",1977.135.186,,1773.0,1774.0,,,,,,Muhammad III,,,,dirham,Islamic,`Alawi Sharifs (Fileyli),,,,,Silver,nm,Coin,,,Maghrib,,,,,,,,1187.0,8.0,20.0,2.784,http://numismatics.org/collectionimages/19501999/1977/1977.135.186.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1977/1977.135.186.rev.width175.jpg,2020-07-31T01:12:44Z
http://numismatics.org/collection/1983.14.3,"Gold dinar of al-Qa'im, al-Mahdiyya, 332 H. 1983.14.3",1983.14.3,,943.0,944.0,,,,,,al-Qa'im,,,,dinar,Islamic,Fatimid,,,,,Gold,al-Mahdiyya,Coin,,,Maghrib,,,,,,,,332.0,,,,http://numismatics.org/collectionimages/19501999/1983/1983.14.3.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1983/1983.14.3.rev.width175.jpg,2020-07-31T01:12:17Z
http://numismatics.org/collection/1970.81.1,"Gold dinar of al-Muqtafi, x, xxx H. 1970.81.1",1970.81.1,,1136.0,1160.0,,,,,,al-Muqtafi,,,,dinar,Islamic,Khwarizmshah,,,,,Gold,x,Coin,,,Mashriq,,,,,,,,,,23.0,3.2,http://numismatics.org/collectionimages/19501999/1970/1970.81.1.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1970/1970.81.1.rev.width175.jpg,2020-07-31T01:15:08Z
http://numismatics.org/collection/1970.81.2,"Gold dinar of Abish/Abaqa, Dar al-Mulk Shiraz, 675 H. 1970.81.2",1970.81.2,,1276.0,1277.0,,,,,,Abish||Abaqa,,,,dinar,Islamic,Salghurid \ Ilkhan,,,,,Gold,Dar al-Mulk Shiraz,Coin,,,Mashriq,,Ilkhanids,,,,,,675.0,12.0,26.0,9.07,http://numismatics.org/collectionimages/19501999/1970/1970.81.2.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1970/1970.81.2.rev.width175.jpg,2020-07-31T01:09:16Z
http://numismatics.org/collection/1928.64.20,"Gold sultani of Sulayman I, Qujaniyya, 926 H. 1928.64.20",1928.64.20,,1555.0,1566.0,,"Miles, OX",,,,Sulayman I,,,,sultani,Islamic,Ottoman,,,,,Gold,Qujaniyya,Coin,,Pere 175cf. Artuk 1547Album.1317,SE Europe,,,darib al-nadir / sahib al-'izz wa'l-nasr / fi al barr wa'l-bahr [three knot devices in field],,Sultan Sulayman b. Selim Khan `azza nasrahu duriba fi Quujaaniyya sana 926 [ha' in mint name is a knot],,,926.0,2.0,19.0,3.474,http://numismatics.org/collectionimages/19001949/1928/1928.64.20.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1928/1928.64.20.rev.width175.jpg,2020-07-31T01:10:10Z
http://numismatics.org/collection/1928.64.22,"Gold sultani of Ibrahim, Tarablus Gharb, 1053? H. 1928.64.22",1928.64.22,,1643.0,1644.0,,,,,,Ibrahim,,,,sultani,Islamic,Ottoman,,,,,Gold,Tarablus Gharb,Coin,,KM 4Pere.430Album.1376N,Maghrib,,,,,,,,,,26.0,3.424,http://numismatics.org/collectionimages/19001949/1928/1928.64.22.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1928/1928.64.22.rev.width175.jpg,2020-07-31T01:12:56Z
http://numismatics.org/collection/1928.999.200,"Silver 2 rupee of Shah Zaman, Kabul, 1212, 5 H. 1928.999.200",1928.999.200,,1797.0,1798.0,,,,,,Shah Zaman,,,,2 rupee,Islamic,Durrani,,,,,Silver,Kabul,Coin,,,Mashriq,,,,,,,,,,26.0,22.863,http://numismatics.org/collectionimages/19001949/1928/1928.999.200.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1928/1928.999.200.rev.width175.jpg,2020-07-31T01:11:27Z
