Title,Picture,Object type,Material,Dimensions in cm (Height x Length x Width),Diameter in cm,Inscription and particular characteristic,Excavation ID,Museum ID,Publication ID,Tiresias data base ID,Date,Description,Bibliography
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190314120332_COL_PHOTO_PLANCHES_DET_01_43_01_78405.png,Sculpture,Hard limestone,16 x 17 x 18,"","",107,"Palmyra, B 1851",116,78405,"",Sculpture fragment of a priest's head. The fragment seems unfinished and is highly damaged. Most of the face is missing and only the ears and a small surface of the forehead are preserved.,"Baalshamin IV, p. 111, pl. 28."
Sculpture fragment of a female chest.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190314114956_COL_PHOTO_PLANCHES_DET_01_43_02_78406.png,Sculpture,Hard limestone,13 x 12.5 x 13.5,"","",74,"Palmyra, no ID",148,78122 ; 78225 ; 78406,"",Sculpture fragment of a female chest broken on all sides. Only the neck and the lower part of the face are preserved but the right ear is discernible and partly covered by a veil. Two collars can be seen around the neck. The biggest is made of round shaped pearls and the smallest holds an oval pendant.,"Baalshamin IV, p. 118, pl. 31."
Sculpture fragments of a winged female.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510095801_COL_PHOTO_PLANCHES_DET_01_27_14_78686.png,Sculpture,Soft limestone,128: 12 x 13 x 12 ; 130: 17 x 11 x 17,"","",128 ; 130,"Palmyra, B 1855",20,77681 ; 77682 ; 77683 ; 78407 ; 78686,"","Two non-coupling fragments of a winged female whose back leans against a pillar.
128: Wall bracket made of two round shapes. The feet of the statue are visible.
130: Torso of a winged victory holding palm branches in her left hand which are leant against her left shoulder. The sculpture is broken from the chest down. The right arm wears a twisted bracelet and the wings are made of three consecutive rows of feathers. The hair do not cover the ears. Earrings made of one big pearl each and a collar are also visible. The cloth shows a ""V"" shaped neckline.","Baalshamin I, p. 210 ; Baalshamin IV, p. 90, pl. 9."
Sculpture fragments of a male head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190314113844_COL_PHOTO_PLANCHES_DET_01_43_04_78408.png,Sculpture,Soft limestone,18.5 x 17 x 21,"",A circular crack divides the skull from the skullcap,126 ; 131,"Palmyra, no ID",83,77899 ; 77900 ; 78163 ; 78408,2nd century A.D.,"Two coupling fragments of a male head. The part of the sculpture below the mouth is missing, as well as the right part of the face. The nose and the right eye are damaged and a straight crack divides the skull from the skullcap. The right ear is preserved and the eyelids are sharply defined. A remarkably straight cut goes from the nose to the back of head and took away all of the lower part of the face.","Baalshamin IV, p.105, pl. 23."
Sculpture fragment with vine tendril motif.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190314115137_COL_PHOTO_PLANCHES_DET_01_43_05_78409.png,Sculpture,Hard limestone,34 x 15 x 11,"","",122,"Palmyra, B 1906",2,78131 ; 78409,1st century A.D.,"Architectural fragment with vine tendril motif. A grape cluster can be seen between two vine leaves. Top, right and lower parts of the fragment are broken but one of the longest side is preserved. The fragment is part of the lintel decorated with eagles from the Baalshamin temple.","Baalshamin IV, p. 81, pl. 1-2, Beilage 4."
Sculpture fragment of a male head on a plate.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190315084858_COL_PHOTO_PLANCHES_DET_01_43_06_78410.png,Sculpture,Soft limestone,26 x 24 x 17.5,"","",23,"Palmyra, B 1825",107,77670 ; 78410,1st-2nd century A.D.,Sculpture fragment of a male head on a plate. All sides of the plate are broken. The nose is mutilated and scratches are visible on the forehead and on the cheeks. The hair is made of four rows of curls. The eyes are wide open and the iris and the eyelids are depicted with incised circles. The left eye is better preserved than the right one. The moustache and the beard are made of carved lines.,"Baalshamin IV, p. 110, pl. 27."
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190315095103_COL_PHOTO_PLANCHES_DET_01_43_07_78411.png,Sculpture,Hard limestone,37 x 24 x 25,"","",79,"Damascus, 7460",78,78228 ; 78411,2nd century A.D.,Sculpture fragment of a priest's head. The section above the neck only is preserved and the back of the sculpture is extensively damaged. The nose and the lower part of the face are both mutilated. The chin and the brow bone are scratched. The left eye of the statue is severely damaged but the right one is well preserved and a circle encompassing the iris is still perceptible. The priest wears a cylindrical headdress divided into three sections.,"Baalshamin I, p. 240 ; Baalshamin II, pl. 110 ; Baalshamin IV, p. 103-104, pl. 22 ; Collart 1957, p. 85, pl. 9 ; Collart 1963 (A), p. 45."
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190315110007_COL_PHOTO_PLANCHES_DET_01_43_10_78414.png,Sculpture,Soft limestone,41 x 21 x 24,"","",73,"Damascus, 7454",79,78227 ; 78414,2nd century A.D.,Sculpture fragment of a priest's head. Only the neck and the head are preserved. The nose is severely broken and the lower part of the face is damaged. Both eyes are wide open and an incised circle surrounds the iris. A laurel wreath circle a cylindrical headdress divided into three sections. The mouth is closed and particularly thin.,"Baalshamin I, p. 240 ; Baalshamin II, pl. 110 ; Baalshamin IV, p. 104, pl. 22 ; Collart 1957, p. 85, pl. 9 ; Collart 1967 (A), p. 56."
Sculpture fragment of a young male head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190319093712_COL_PHOTO_PLANCHES_DET_01_43_11_78415.png,Sculpture,Soft limestone,40 x 23 x 22,"","",147,"Palmyra, B 1860",81,78415 ; 78695,2nd century A.D.,Sculpture fragment of a young male head. The statue is broken from the neck down but a tenon joint that used to fix the head to the body is still present. The face is badly mutilated but it is possible to guess the form of the eyes and of the nose. The well preserved hair was sculpted with two rows of curls covering the ears and the forehead extended by four rows on the top of the head.,"Baalshamin IV, p. 104, pl. 24."
Sculpture fragment of a male head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190319101902_COL_PHOTO_PLANCHES_DET_01_43_12_78416.png,Sculpture,Soft limestone,38 x 22 x 24,"","",148,"Palmyra, B 1861",82,78416 ; 78417 ; 78691; 78704; 78703,"","Sculpture fragment of a male head broken from the neck down. The face is long and mutilated but the nose, the mouth and the cheeks are still visible. The outer edge of the ears are broken. Four rows of curls of hair are covering the head and half of the forehead. The eyes are wide open and incised circles surround both iris. Wrinkles can be seen around both sides of the mouth.","Baalshamin IV, p. 104, pl. 24."
