id,creator_id,updater_id,original_id,institution_id,country_id,creation_date,update_date,filename,file_size,width,height,dating,name,street,postcode,locality,area,addition,expanded_name,material,technique,technique_author,format,literature,page,figure,table,isbn,comment,rights,museris_url,museris_cote,visibility,image_validator_id,data_validator_id,image_validation_date,data_validation_date,owner_id,document_type_id,domain_id,precision,technique_date,object_reference,production_place,from,to,site,document_size,url,url_description,code,location,plain_name,legacy_id
55169360,,3321,,,15,2007-11-26 15:27:59,2019-11-19 17:12:38,tiresias-27883.jpg,0,2673,1934,,"Rome (Latium), sur le <em>Forum Romanum</em>, temple d’Antonin et de Faustine",,,Rome,,,"Rome (Latium), sur le <em>Forum Romanum</em>, temple d’Antonin et de Faustine. Il a été construit par Antonin le Pieux en l'honneur de son épouse déifiée, l'impératrice Faustine, décédée en 141. Le temple est dédié une deuxième fois après la mort et la déification d'Antonin le Pieux en 161. Le temple doit sa relative bonne conservation à sa transformation en église durant le Moyen Âge. En effet, l'église <em>San Lorenzo in Miranda</em> est installée dans la <em>cella</em> du temple au cours des 7e et 8e siècles, mais son existence n'est attestée que depuis le 11e siècle, mentionnée dans le <em>Mirabilia Urbis Romae</em>. Les traces obliques encore visibles aujourd'hui sur les fûts des colonnes auraient été laissées lors d'une tentative d'abattre le portique pour récupérer les matériaux ou pour détruire ce qui restait d'un temple païen. Au moment de la construction de l'église, le terrain est plus haut d'environ douze mètres par rapport à son niveau antique et les colonnes, constituées d'un seul bloc, sont en partie enterrées.",,,"Paul Collart, IASA-UNIL",,Album: Rome-forum,,,,,,,,,public,,,,,,90,91,building,1926-1940,,,141,141,tiresias,,,,IAS-COL-27883,POINT(12.486627 41.892221),,27883
55169361,,3321,,,15,2007-11-26 15:27:59,2019-11-19 17:12:38,tiresias-27884.jpg,0,2670,1928,,"Rome (Latium), sur le <em>Forum Romanum</em>, détail du temple d’Antonin et de Faustine",,,Rome,,,"Rome (Latium), sur le <em>Forum Romanum</em>, détail du temple d’Antonin et de Faustine. Il a été construit par Antonin le Pieux en l'honneur de son épouse déifiée, l'impératrice Faustine, décédée en 141. Le temple est dédié une deuxième fois après la mort et la déification d'Antonin le Pieux en 161. Le temple doit sa relative bonne conservation à sa transformation en église durant le Moyen Âge. En effet, l'église <em>San Lorenzo in Miranda</em> est installée dans la <em>cella</em> du temple au cours des 7e et 8e siècles, mais son existence n'est attestée que depuis le 11e siècle, mentionnée dans le <em>Mirabilia Urbis Romae.</em> Les traces obliques encore visibles aujourd'hui sur les fûts des colonnes auraient été laissées lors d'une tentative d'abattre le portique pour récupérer les matériaux ou pour détruire ce qui restait d'un temple païen. Au moment de la construction de l'église, le terrain est plus haut d'environ douze mètres par rapport à son niveau antique et les colonnes, constituées d'un seul bloc, sont en partie enterrées.",,,"Paul Collart, IASA-UNIL",,Album: Rome-forum,,,,,,,,,public,,,,,,90,91,building,1926-1940,,,,,tiresias,,,,IAS-COL-27884,POINT(12.486627 41.892221),,27884
55169373,,3321,,,15,2007-11-26 15:27:59,2019-11-19 17:12:38,tiresias-27896.jpg,0,2676,1929,,"Rome (Latium), <em>Forum Romanum</em>",,,Rome,,,"Rome (Latium), <em>Forum Romanum</em>. Temple de Romulus. Il fut érigé en l'honneur de Valerius Romulus, fils de l'empereur Maxence, mort en 307. Construction après 309.",,,"Paul Collart, IASA-UNIL",,Album: Rome-forum,,,,,,,,,public,,,,,,90,91,site,,,,309,311,tiresias,,,,IAS-COL-27896,POINT(12.485885 41.891577),,27896
55169380,,3321,,,15,2007-11-26 15:28:00,2019-11-19 17:12:38,tiresias-27903.jpg,0,1920,2658,,"Rome (Latium), <em>Forum Romanum</em>. Arc de Titus<em>",,,Rome,,,"Rome (Latium), <em>Forum Romanum</em>. Arc de Titus<em>81 ap. J.-C.",,,"Paul Collart, IASA-UNIL",,Album: Rome-forum,,,,,,,,,public,,,,,,90,60,building,,,,81,81,tiresias,,,,IAS-COL-27903,POINT(12.48856 41.890681),,27903
55169381,,3321,,,15,2007-11-26 15:28:00,2019-11-19 17:12:38,tiresias-27904.jpg,0,2630,1932,,"Rome (Latium), <em>Forum Romanum</em>. Voûte de l'Arc de Titus",,,Rome,,,"Rome (Latium), <em>Forum Romanum</em>. Voûte de l'Arc de Titus. 81 ap. J.-C.",,,"Paul Collart, IASA-UNIL",,Album: Rome-forum,,,,,,,,,public,,,,,,90,60,building,,,,81,81,tiresias,,,,IAS-COL-27904,POINT(12.48856 41.890681),,27904
55169382,,3321,,,15,2007-11-26 15:28:00,2019-11-19 17:12:38,tiresias-27905.jpg,0,2662,1908,,"Rome (Latium), <em>Forum Romanum</em>. Arc de Titus, face interne sud",,,Rome,,,"Rome (Latium), <em>Forum Romanum</em>. Arc de Titus, face interne sud. Elle montre un cortège triomphale avec l'empereur Titus tenant les rênes d'un quadrige. A l'arrière du quadrige, une Victoire. Vers 81 ap. J.-C.",,,"Paul Collart, IASA-UNIL",,Album: Rome-forum,,,,,,,,,public,,,,,,90,60,building,,,,81,81,tiresias,,,,IAS-COL-27905,POINT(12.48856 41.890681),,27905
55169383,,3321,,,15,2007-11-26 15:28:00,2019-11-19 17:12:38,tiresias-27906.jpg,0,2631,1929,,Rome (Latium),,,Rome,,,"Rome (Latium). Arc de Titus, face interne sud. Elle montre le défilé des dépouilles arrachées au temple de Jérusalem en même temps qu'à l'ostentation des pancartes ou des tableaux de guerre. Devant la menorah, est portée sur une civière la table des douze pains de proposition, dressée derrière deux trompettes croisées en sautoir qui servait à convoquer les fidèles, selon la prescription de Iahvé. Le Cortège arrive en vue de la Porte Triomphale. 81 ap. J.-C.<br><br>",,,"Paul Collart, IASA-UNIL",,Album: Rome-forum,,,,,,,,,public,,,,,,90,60,building,,,,81,81,tiresias,,,,IAS-COL-27906,POINT(12.48856 41.890681),,27906
55169423,,3321,,,15,2007-11-26 15:28:00,2019-11-19 17:12:38,tiresias-27946.jpg,0,2594,1935,,Rome (Latium). <em>Forum</em> de Trajan,,,Rome,,,Rome (Latium). <em>Forum</em> de Trajan et colonne Trajane. 113 ap. J.-C.<br><br>,,,"Paul Collart, IASA-UNIL",,Album: Rome (sauf Forum),,,,,,,,,public,,,,,,90,925,building,,,,113,113,tiresias,,,,IAS-COL-27946,POINT(12.484582 41.895574),,27946
55169424,,3321,,,15,2007-11-26 15:28:00,2019-11-19 17:12:38,tiresias-27947.jpg,0,1944,2573,,Rome (Latium). Base de la colonne Trajane,,,Rome,,,Rome (Latium). Base de la colonne Trajane. 113 ap. J.-C.<br><br>,,,"Paul Collart, IASA-UNIL",,Album: Rome (sauf Forum),,,,,,,,,public,,,,,,90,99,building,,,,113,113,tiresias,,,,IAS-COL-27947,POINT(12.484299 41.895821),,27947
55169451,,3157,,,15,2007-11-26 15:28:00,2020-01-21 14:20:07,tiresias-27974.jpg,0,2652,1932,,Rome/<em>Roma</em> (Latium). Thermes de Dioclétien,,,Rome,,,Rome/<em>Roma</em> (Latium). Thermes de Dioclétien. 298-306 ap. J.-C.,,,"Paul Collart, IASA-UNIL",,Album: Rome (sauf Forum),,,,,,,,,public,,,,,,1,924,building,,,,298,306,tiresias,,,,IAS-COL-27974,POINT(12.497229 41.903381),,27974
