Référence,Description,Domaine 1,Domaine 2,Domaine 3,Civilisation,Période,Date précise début,Date précise fin,Pays de découverte,Site/Lieu de découverte,Lieu de production,Référence de l'objet,Type de document,Auteur du document,Année du document,Latitude,Longitude,Altitude,Précision
IAS-COL-30494,"[t]Palmyre/[i]Tadmor[/i], Grande colonnade. Château et façade du temple funéraire à l'arrière plan[/t].
[nl][-x-]
[nl](Photographie en noir et blanc)[nl]",IMMOBILIER,Structure architecturale,Temple,,,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Site
IAS-COL-30495,"[t]Palmyre/[i]Tadmor[/i], temple funéraire. Façade[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Temple funéraire,Romaine,Haut-Empire,200,300,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.555507,38.263121,,Bâtiment
IAS-COL-30496,"[t]Palmyre/[i]Tadmor[/i], temple funéraire. Façade [/t]
Colonnes de la Grande Colonnade au premier plan; château arabe à l'arrière plan.
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Temple funéraire,Romaine,Haut-Empire,200,300,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.555507,38.263121,,Bâtiment
IAS-COL-30497,"[t]Palmyre/[i]Tadmor[/i], temple funéraire. Façade[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc) 
",IMMOBILIER,Structure architecturale,Temple funéraire,Romaine,Haut-Empire,200,300,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.555507,38.263121,,Bâtiment
IAS-COL-30499,"[t]Palmyre/[i]Tadmor[/i]. Vue d’ensemble des ruines de la ville depuis le sanctuaire de Bêl[/t], avec l'arc de triomphe au premier plan et la citadelle en arrière-plan.
[nl] [-x-]
[nl] (Photographie en noir et blanc)
",IMMOBILIER,Ensemble urbanistique,Ville,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1925-1935,,,,
IAS-COL-30500,"[t]Palmyre/[i]Tadmor[/i], temple de Bêl. Plafond du [i]thalamos[/i] sud du temple[/t].
[nl] (Photographie en noir et blanc) 
[nl] De chaque côté de ce [i]thalamos[/i], un escalier permettait d'accéder au toit terrasse où avaient lieu des sacrifices d'encens dans des pyrées situés aux quatre angles. Tout le pourtour du toit-terrasse est décoré de créneaux à merlons de type assyrien, symbolisant la course du soleil qui atteint son zénith avant de redescendre.",IMMOBILIER,Elément architectonique,Plafond,Romaine,Haut-Empire,32,32,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.54729,38.274142,,Bâtiment
IAS-COL-30501,"[t]Palmyre/[i]Tadmor[/i], temple de Bêl. Plafond du [i]thalamos[/i] nord du temple[/t].
[nl] (Photographie en noir et blanc) 
[nl] De chaque côté de ce [i]thalamos[/i], un escalier permettait d'accéder au toit terrasse où avaient lieu des sacrifices d'encens dans des pyrées situés aux quatre angles. Tout le pourtour du toit-terrasse est décoré de créneaux à merlons de type assyrien, symbolisant la course du soleil qui atteint son zénith avant de redescendre.",IMMOBILIER,Elément architectonique,Plafond,Romaine,Haut-Empire,32,32,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.547547,38.274161,,Bâtiment
IAS-COL-30502,"[t]Palmyre/[i]Tadmor[/i], temple de Bêl. Façade et porte ouest du temple.[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc) 
",IMMOBILIER,Structure architecturale,Temple,Romaine,Haut-Empire,32,32,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.547418,38.274148,,Bâtiment
IAS-COL-30589,"[t]Palmyre/[i]Tadmor[/i]. Vue d’ensemble des ruines de la ville[/t] avec l'arc de triomphe au premier plan.
[nl](Photographie en noir et blanc)",IMMOBILIER,Ensemble urbanistique,Ville,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,,,,
IAS-COL-30592,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Bêl. Porte ouest du temple[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Elément architectonique,Porte,Romaine,Haut-Empire,32,32,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.547418,38.274148,,Bâtiment
IAS-COL-30593,"[t]Palmyre/[i]Tadmor[/i], sanctuaire Bêl. Propylées et portiques de la grande galerie[/t] vue ouest, depuis le temple.
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Propylée,Romaine,Haut-Empire,80,150,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.547503,38.272849,,Bâtiment
IAS-COL-30594,"[t][t] Palmyre/[i]Tadmor[/i], sanctuaire de Bêl. Porte ouest[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Elément architectonique,Porte,Romaine,Haut-Empire,32,32,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.547418,38.274148,,Bâtiment
IAS-COL-30595,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Bêl. Portiques du téménos et de la grande galerie transversale[/t] du sanctuaire de Baal ou Bêl; vue nord-ouest. Fin du 1er siècle- milieu du 2e siècle ap. J.-C.
(Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Portique/Stoa,Romaine,Haut-Empire,80,150,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.54811,38.273245,,Bâtiment
IAS-COL-30596,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Bêl. Portiques du téménos et de la grande galerie transversale[/t] du sanctuaire de Baal ou Bel; vue nord-ouest.
[nl] (-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,80,150,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.546946,38.272992,,Bâtiment
IAS-COL-30597,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Bêl. [i]Thalamos[/i] sud du temple[/t].
[nl] (Photographie en noir et blanc)
[nl] De chaque côté de ce [i]thalamos[/i], un escalier permettait d'accéder au toit terrasse où avaient lieu des sacrifices d'encens dans des pyrées situés aux quatre angles. Tout le pourtour du toit-terrasse est décoré de créneaux à merlons de type assyrien, symbolisant la course du soleil qui atteint son zénith avant de redescendre.",IMMOBILIER,Local,Cella,Romaine,Haut-Empire,32,32,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.547679,38.27405,,Bâtiment
IAS-COL-30598,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Bêl. Portiques du téménos et de la grande galerie transversale[/t] du sanctuaire de Baal ou Bel; vue nord-ouest. Fin du 1er siècle- milieu du 2e siècle ap. J.-C.
[nl][-x-] 
[nl](Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Portique/Stoa,Romaine,Haut-Empire,80,150,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",,34.54811,38.273245,,Bâtiment
IAS-COL-30599,"[t]Palmyre/[i]Tadmor[/i], temple de Bêl. [i]Thalamos[/i] sud du temple[/t]
[nl] (Photographie en noir et blanc)
[nl] De chaque côté de ce [i]thalamos[/i], un escalier permettait d'accéder au toit terrasse où avaient lieu des sacrifices d'encens dans des pyrées situés aux quatre angles. Tout le pourtour du toit-terrasse est décoré de créneaux à merlons de type assyrien, symbolisant la course du soleil qui atteint son zénith avant de redescendre.",IMMOBILIER,Local,Cella,Romaine,Haut-Empire,32,32,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.547679,38.27405,,Bâtiment
IAS-COL-30600,"[t]Palmyre/[i]Tadmor[/i], grande colonnade, colonnes de la colonnade transversale au premier plan et de la Grande Colonnade en arrière-plan[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc)
[nl] Chacune des colonnes porte une console qui soutenait une statue en bronze d'un notable de la ville. La colonnade transversale a été construite au début du 2e siècle et la Grande Colonnade à la fin du 2e siècle-début du 3e siècle ap. J.-C.",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,100,220,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.554602,38.263397,,Site
IAS-COL-30601,"[t]Palmyre/[i]Tadmor[/i], colonnes de la colonnade transversale au premier plan et de la Grande Colonnade en arrière-plan[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc)
[nl] Chacune des colonnes porte une console qui soutenait une statue en bronze d'un notable de la ville. La colonnade transversale a été construite au début du 2e siècle et la Grande Colonnade à la fin du 2e siècle-début du 3e siècle ap. J.-C.",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,100,220,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.554602,38.263397,,Site
IAS-COL-30602,"[t]Palmyre/[i]Tadmor[/i], vallée des Tombeaux. Sépultures collectives sous forme de tombeaux-tours[/t]. 
[nl] [-x-] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Ensemble urbanistique,Nécropole,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-30603,"[t]Palmyre/[i]Tadmor[/i], Colonnade transversale. Colonnes de la colonnade transversale[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)
[nl] Chacune des colonnes porte une console qui soutenait une statue en bronze d'un notable de la ville.",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,100,220,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.554602,38.263397,,Site
IAS-COL-30604,"[t]Palmyre/[i]Tadmor[/i], vallée des Tombeaux. Sépultures collectives sous forme de tombeaux-tours [/t]
[nl] [-x-] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Ensemble urbanistique,Nécropole,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
