,emuIRN,curatorial_section,object_number,object_name,native_name,culture,provenience,material,period,date_made,date_made_early,date_made_late,accession_credit_line,creator,description,manufacture_locationlocus,culture_area,technique,iconography,measurement_height,measurement_length,measurement_width,measurement_outside_diameter,measurement_tickness,measurement_unit,other_numbers,url,image_url
0,137538,Egyptian,E7303,Scissors,,Meroitic,Egypt|Nubia|Karanog Cemetery,Bronze,,100BC-AD300,-100,300,"The Eckley B. Coxe Jr. Expedition to Nubia, Karanog, Aniba Cemetery; D. Randall-MacIver and C. L. Wooley, 1908",,,,,,,,,,,,,,http://www.penn.museum/collections/object/137538,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
1,122258,Egyptian,E7374,Anklet,,Meroitic,Egypt|Nubia|Karanog Cemetery,Iron,,100 BC-AD 300,-100,300,"The Eckley B. Coxe Jr. Expedition to Nubia, Karanog, Aniba Cemetery; D. Randall-MacIver and C. L. Wooley, 1908",,,,,,,,,,,,,,http://www.penn.museum/collections/object/122258,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
2,11877,Egyptian,E7913,String of Beads,,Meroitic,Egypt|Nubia|Karanog Cemetery,Glass,,100 BC-AD 300,-100,300,"The Eckley B. Coxe Jr. Expedition to Nubia, Karanog, Aniba Cemetery; D. Randall-MacIver and C. L. Wooley, 1908",,Spheroids,,,,,,,,,,,,http://www.penn.museum/collections/object/11877,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
3,227971,Egyptian,92-2-10,Celt,,A-Group,Sudan|Nubia,Basalt,,,,,"Exchange with the Boston Museum of Fine Arts, 1992",,Wedge-shaped stone.,,,,,,,,,,,,http://www.penn.museum/collections/object/227971,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
4,48428,Egyptian,E5128,Offering Table,,Meroitic,Egypt|Nubia|Shablul,Sandstone,,,,,"The Eckley B. Coxe Jr. Expedition to Nubia, Shablul; D. Randall-MacIver and C. L. Wooley, 1907",,Plain.,,,,,,,,,,,,http://www.penn.museum/collections/object/48428,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
5,326915,Egyptian,E5130,Fragment,,Meroitic,Egypt|Nubia|Shablul,Sandstone,,,,,"The Eckley B. Coxe Jr. Expedition to Nubia, Shablul; D. Randall-MacIver and C. L. Wooley, 1907",,Inscribed.,,,,,,,,,,,,http://www.penn.museum/collections/object/326915,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
6,166560,Egyptian,E7079,Stela,,Meroitic,Egypt|Nubia|Karanog Cemetery,Sandstone|Pigment,,,,,"The Eckley B. Coxe Jr. Expedition to Nubia, Karanog, Aniba Cemetery; D. Randall-MacIver and C. L. Wooley, 1908",,"Figure painted in red with bracelets and necklace, a winged disk above figure. Wreath in hair, object in the left hand, ground line yellow.",,,,figure|bracelets|necklace|winged disk,38.0,,32.5,,,cm,,http://www.penn.museum/collections/object/166560,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
7,54463,Egyptian,E10998,Stela,,,Sudan|Nubia|Buhen,Sandstone,New Kingdom,1539-1075 BC,-1540,-1074,"The Eckley B. Coxe Jr. Expedition to Nubia, Buhen; D. Randall-MacIver and C. L. Wooley, 1910",,"Of Amenemopet, viceroy of Kush.",,,,,,,,,,,,http://www.penn.museum/collections/object/54463,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
8,18438,Egyptian,E11359,Door Frame,,,Egypt|Nubia|Aniba,Sandstone,New Kingdom|Nineteenth Dynasty|Twentieth Dynasty,1292-1075 BC,-1293,-1074,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,"Two vertical lines of inscription belonging to the Treasurer and Mayor, Mery.",,,,,,,,,,,,http://www.penn.museum/collections/object/18438,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
9,274831,Egyptian,29-66-680,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Limestone. Good work.,,,,,,,18.0,,,cm,D5346,http://www.penn.museum/collections/object/274831,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
10,54363,Egyptian,29-66-807,Stela,,,Egypt|Dendereh,Limestone|Pigment,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,,,,35.0,,,,,cm,,http://www.penn.museum/collections/object/54363,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
11,106240,Egyptian,29-66-670,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Limestone. Upper left corner of stone; woman's head. Scratched relief.,,,,,,,,,,,D4507,http://www.penn.museum/collections/object/106240,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
12,96093,Egyptian,29-66-796,Door Frame,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Inscription incomplete.,,,,,,10.8,3.0,,,cm,,http://www.penn.museum/collections/object/96093,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
13,153861,Egyptian,29-87-484,Statuary,,,Egypt|Dra Abu El-Naga,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,Upper part of head of statue,,,,,8.4,,,,,cm,400,http://www.penn.museum/collections/object/153861,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
14,10308,Egyptian,69-29-41,Relief,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Fragment. Remains of incised scene.,,,,Human Hand,,,,,,,67-456,http://www.penn.museum/collections/object/10308,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
15,184574,Egyptian,69-29-350,Trial Piece,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,,,,,,,,,,67-163,http://www.penn.museum/collections/object/184574,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
16,154719,Egyptian,69-29-353,Fragment,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,"""Trial piece"". Obverse crowned female head, reverse back of head with ear.",,,,Trial Piece,,,,,,,69-7,http://www.penn.museum/collections/object/154719,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
17,261959,Egyptian,69-29-357,Object,,,Egypt|Abydos,Granite,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,,,,,,,,,,67-44,http://www.penn.museum/collections/object/261959,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
18,292270,Egyptian,69-29-364,Bowl,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Roughly worked.,,,,,,,,,,,67-368,http://www.penn.museum/collections/object/292270,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
19,167900,Egyptian,69-29-368,Bowl,,,Egypt|Abydos,Limestone|Paint,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Hieratic(?) text.,,,Painted,,,,,,,,67-547,http://www.penn.museum/collections/object/167900,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
20,43838,Egyptian,69-29-394,Fragment,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,,,,,,,,,,67-333,http://www.penn.museum/collections/object/43838,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
21,191979,Egyptian,E13376,Prism,,Graeco-Roman,Egypt|Abydos,Limestone,Graeco-Roman Period,,,,"Distribution from the Egyptian Research Account, 1902",,Block with dedication inscription in Greek.,,,,,,,,,,,AES 2760,http://www.penn.museum/collections/object/191979,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
22,198709,Egyptian,E2498,Statuary,,,Egypt|Coptos,Sandstone,,,,,"Distribution from the Egyptian Research Account; William Flinders Petrie, 1898",,Hand from statue.,,,,Hand,,,,,,,ES 2498,http://www.penn.museum/collections/object/198709,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
23,103281,Egyptian,69-29-106,Stela,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Upper part. In sunken relief. Stela rounded on top.,,,,,,,,,,,67-686,http://www.penn.museum/collections/object/103281,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
24,179752,Egyptian,E9956,Stela,,,Egypt|Abydos (uncertain),Limestone,,,,,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1902",,"Lower part of stela of man of unknown name. This part of the stela is dedicated to his sisters, Ded and Itu.",,,,,,,,,,,AES2488,http://www.penn.museum/collections/object/179752,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
25,158807,Egyptian,69-29-205,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Black ink inscription.,,,,,,,,,,,67-683,http://www.penn.museum/collections/object/158807,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
26,51977,Egyptian,69-29-271,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Ostrakon. 6 lines demotic.,,,,Text,,,,,,,67-306,http://www.penn.museum/collections/object/51977,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
27,25250,Egyptian,69-29-279,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Ostracon.,,,,,,,,,,,67-534,http://www.penn.museum/collections/object/25250,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
28,235438,Egyptian,69-29-344,Drawing Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,In black ink.,,,,Drawing|Figure,,,,,,,68-7,http://www.penn.museum/collections/object/235438,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
