,accession_credit_line,creator,culture,culture_area,curatorial_section,date_made,date_made_early,date_made_late,description,emuIRN,iconography,image_url,manufacture_locationlocus,material,measurement_height,measurement_length,measurement_outside_diameter,measurement_tickness,measurement_unit,measurement_width,native_name,object_name,object_number,other_numbers,period,provenience,technique,url
0,"The Eckley B. Coxe Jr. Expedition to Nubia, Karanog, Aniba Cemetery; D. Randall-MacIver and C. L. Wooley, 1908",,Meroitic,,Egyptian,100BC-AD300,-100,300,,137538,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/172786.jpg""",,Bronze,,,,,,,,Scissors,E7303,,,Egypt|Nubia|Karanog Cemetery,,http://www.penn.museum/collections/object/137538
1,"The Eckley B. Coxe Jr. Expedition to Nubia, Karanog, Aniba Cemetery; D. Randall-MacIver and C. L. Wooley, 1908",,Meroitic,,Egyptian,100 BC-AD 300,-100,300,,122258,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/261694.jpg""",,Iron,,,,,,,,Anklet,E7374,,,Egypt|Nubia|Karanog Cemetery,,http://www.penn.museum/collections/object/122258
2,"The Eckley B. Coxe Jr. Expedition to Nubia, Karanog, Aniba Cemetery; D. Randall-MacIver and C. L. Wooley, 1908",,Meroitic,,Egyptian,100 BC-AD 300,-100,300,Spheroids,11877,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/196281.jpg""",,Glass,,,,,,,,String of Beads,E7913,,,Egypt|Nubia|Karanog Cemetery,,http://www.penn.museum/collections/object/11877
3,"Exchange with the Boston Museum of Fine Arts, 1992",,A-Group,,Egyptian,,,,Wedge-shaped stone.,227971,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/64616.jpg""",,Basalt,,,,,,,,Celt,92-2-10,,,Sudan|Nubia,,http://www.penn.museum/collections/object/227971
4,"The Eckley B. Coxe Jr. Expedition to Nubia, Shablul; D. Randall-MacIver and C. L. Wooley, 1907",,Meroitic,,Egyptian,,,,Plain.,48428,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275178.jpg""",,Sandstone,,,,,,,,Offering Table,E5128,,,Egypt|Nubia|Shablul,,http://www.penn.museum/collections/object/48428
5,"The Eckley B. Coxe Jr. Expedition to Nubia, Shablul; D. Randall-MacIver and C. L. Wooley, 1907",,Meroitic,,Egyptian,,,,Inscribed.,326915,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275268.jpg""",,Sandstone,,,,,,,,Fragment,E5130,,,Egypt|Nubia|Shablul,,http://www.penn.museum/collections/object/326915
6,"The Eckley B. Coxe Jr. Expedition to Nubia, Karanog, Aniba Cemetery; D. Randall-MacIver and C. L. Wooley, 1908",,Meroitic,,Egyptian,,,,"Figure painted in red with bracelets and necklace, a winged disk above figure. Wreath in hair, object in the left hand, ground line yellow.",166560,figure|bracelets|necklace|winged disk,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/72663.jpg""",,Sandstone|Pigment,38.0,,,,cm,32.5,,Stela,E7079,,,Egypt|Nubia|Karanog Cemetery,,http://www.penn.museum/collections/object/166560
7,"The Eckley B. Coxe Jr. Expedition to Nubia, Buhen; D. Randall-MacIver and C. L. Wooley, 1910",,,,Egyptian,1539-1075 BC,-1540,-1074,"Of Amenemopet, viceroy of Kush.",54463,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275466.jpg""",,Sandstone,,,,,,,,Stela,E10998,,New Kingdom,Sudan|Nubia|Buhen,,http://www.penn.museum/collections/object/54463
8,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,1292-1075 BC,-1293,-1074,"Two vertical lines of inscription belonging to the Treasurer and Mayor, Mery.",18438,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275549.jpg""",,Sandstone,,,,,,,,Door Frame,E11359,,New Kingdom|Nineteenth Dynasty|Twentieth Dynasty,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/18438
9,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Limestone. Good work.,274831,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273110.jpg""",,Limestone,,,,,cm,18.0,,Stela,29-66-680,D5346,,Egypt|Dendereh,,http://www.penn.museum/collections/object/274831
10,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,,54363,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273259.jpg""",,Limestone|Pigment,35.0,,,,cm,,,Stela,29-66-807,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/54363
