emuIRN,curatorial_section,object_number,object_name,native_name,culture,provenience,material,period,date_made,date_made_early,date_made_late,accession_credit_line,creator,description,manufacture_locationlocus,culture_area,technique,iconography,measurement_height,measurement_length,measurement_width,measurement_outside_diameter,measurement_tickness,measurement_unit,other_numbers,url,image
110701,Near Eastern,61-14-2243,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Broken in two. Larger piece has overlap design.,,,,,,,,,,,?,http://www.penn.museum/collections/object/110701,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
207548,Near Eastern,61-14-2244,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Two pieces badly corroded.,,,,,,,,,,,?,http://www.penn.museum/collections/object/207548,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
253682,Near Eastern,61-14-2245,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,"Fragment, half circle.",,,,,,,,,,,?,http://www.penn.museum/collections/object/253682,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
244443,Near Eastern,61-14-2246,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Fragments of several rings.,,,,,,,,,,,?,http://www.penn.museum/collections/object/244443,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
34298,Near Eastern,61-14-2247,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Fragments of several rings.,,,,,,,,,,,?,http://www.penn.museum/collections/object/34298,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
70596,Near Eastern,61-14-2248,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Fragments of several rings.,,,,,,,,,,,?,http://www.penn.museum/collections/object/70596,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
215596,Near Eastern,61-14-2249,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Two fragments.,,,,,,,,,,,?,http://www.penn.museum/collections/object/215596,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
215597,Near Eastern,61-14-2250,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Fragment of a half circle.,,,,,,,,,,,?,http://www.penn.museum/collections/object/215597,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
198259,Near Eastern,61-14-2251,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,"Three fragments, all flat.",,,,,,,,,,,?,http://www.penn.museum/collections/object/198259,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
315642,Near Eastern,61-14-2252,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,"Broken, overlap design. Piece missing.",,,,,,,,,,,?,http://www.penn.museum/collections/object/315642,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
107188,Near Eastern,61-14-2253,Ingot,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Elliptical in shape.,,,,,,,,,,,1614,http://www.penn.museum/collections/object/107188,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
77300,Near Eastern,61-14-2254,Ring Fragment,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Corroded fragment.,,,,,,,,,,,?,http://www.penn.museum/collections/object/77300,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
108358,Near Eastern,61-14-2255,Ring,,,Israel|Beth Shemesh,Iron (uncertain),,,,,"Purchased from Haverford College, 1961",,"Circular, badly corroded.",,,,,,,,,,,?,http://www.penn.museum/collections/object/108358,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
325251,Near Eastern,61-14-2256,Ring,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,"Circular, flat interior, rounded exterior.",,,,,,,,,,,?,http://www.penn.museum/collections/object/325251,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
326905,Near Eastern,61-14-2257,Disk,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,"One surface concave, the other convex.",,,,,,,,,,,1448,http://www.penn.museum/collections/object/326905,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
303222,Near Eastern,61-14-2258,Metal Fragments,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,"Two fragments, one folded and one somewhat curved.",,,,,,,,,,,?,http://www.penn.museum/collections/object/303222,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
20890,Near Eastern,61-14-2259,Rod Fragment,,,Israel|Beth Shemesh,Bronze,,,,,"Purchased from Haverford College, 1961",,Pointed at one end.,,,,,,,,,,,1495,http://www.penn.museum/collections/object/20890,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
347547,Near Eastern,77-18-75,Bead,,,Jordan|Baq'ah Valley,Glass,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Beck Type: I.B.1.a (circular oblate), VIa; mottled white glass",,,,,,,,,,,109,http://www.penn.museum/collections/object/347547,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
347548,Near Eastern,77-18-76,Ostrich Egg,,,Jordan|Baq'ah Valley,Ostrich Egg,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,2 fragments of Ostrich Egg Shell,,,,,,,,,,,113,http://www.penn.museum/collections/object/347548,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
347550,Near Eastern,77-18-78,Bead,,,Jordan|Baq'ah Valley,Glass,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Beck Type: I.B.1.a (circular oblate), IV; perforation off -center; mottled gray and white variegated glass",,,,,,,,,,,115,http://www.penn.museum/collections/object/347550,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
347554,Near Eastern,77-18-82,Bead,,,Jordan|Baq'ah Valley,Glass,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Beck Type: I.A.1.a (circular oblate disc), VIa; black and white variegated glass<br />[note: on catalogue card it appears that the Beck Type is L.A.1a-but this type is not acknowledged in the publication. I believe that it is a typo, and that it is I.A.1.a]",,,,,,,,,,,119,http://www.penn.museum/collections/object/347554,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
347555,Near Eastern,77-18-83,Bead,,,Jordan|Baq'ah Valley,Faience,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Beck Type: I.B.1.a (circular oblate), VIa; collared---one collar missing; white glazed faience. Sampled.",,,,,,,,,,,120,http://www.penn.museum/collections/object/347555,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
347556,Near Eastern,77-18-84,Bead,,,Jordan|Baq'ah Valley,Glass,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Beck Type: I.B.1.a (circular oblate), VIa; black and white variegated glass",,,,,,,,,,,121,http://www.penn.museum/collections/object/347556,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
347558,Near Eastern,77-18-86,Bead,,,Jordan|Baq'ah Valley,Copper Alloy,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Bead A: Beck Type: I.B.1.a (circular oblate), VIa; copper or bronze<br />Bead B: Beck Type: I.B.2.b (circular short cylinder), VIa; copper or bronze",,,,,,,,,,,"124a, 124b",http://www.penn.museum/collections/object/347558,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
356919,Near Eastern,77-18-93,Bead,,,Jordan|Baq'ah Valley,Glass,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Beck Type: I>A>1.a (circular oblate disc), VIa; mottled white glass",,,,,,,,,,,136,http://www.penn.museum/collections/object/356919,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
356920,Near Eastern,77-18-94,Bead,,,Jordan|Baq'ah Valley,Glass,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Beck Type: I.D.1.a (circular ellipsoid), VIa; greenish white glass; 3 fragments",,,,,,,,,,,132,http://www.penn.museum/collections/object/356920,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
345390,Near Eastern,77-18-96,Bead,,,Jordan|Baq'ah Valley,Glass,Late Bronze I,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Beck Type: I.D.1.a (circular ellipsoid), VIa; perforation off-center; black and white variegated glass.  At time of cataloging, there were three (3) joined fragments; at time of data entry, there were five (5) fragments and only two were joined.",,,,,,,,,,,138,http://www.penn.museum/collections/object/345390,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
355766,Near Eastern,77-18-145.1,Sherd,,,Jordan|Baq'ah Valley,Ceramic,,,,,"The Baq'ah Valley Project, Pat McGovern, 1977",,"Buff ware, partially fired, in three pieces due to Xeroradiography testing.",,,,,,,,,,,B77.31-9,http://www.penn.museum/collections/object/355766,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351413,Near Eastern,81-6-184,Cowrie Shells,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.  Two examples (a-b),,,,,,,,,,,I.104 a-b|B80 \| 6/22/80 \| I.1.91,http://www.penn.museum/collections/object/351413,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351414,Near Eastern,81-6-185,Cowrie Shells,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.  Four examples (a-d),,,,,,,,,,,I.105 a-d|B80 \| I.1.92 \| 6/22/80,http://www.penn.museum/collections/object/351414,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351415,Near Eastern,81-6-186,Cowrie Shells,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.  Two examples (a-b),,,,,,,,,,,I.128 a-b|B80 \| 6/27/80 \| I.1.97,http://www.penn.museum/collections/object/351415,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351416,Near Eastern,81-6-187,Cowrie Shell,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.,,,,,,,,,,,I.153|B80 \| I.1.102 \| 6/24/80,http://www.penn.museum/collections/object/351416,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351417,Near Eastern,81-6-188,Cowrie Shell,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.,,,,,,,,,,,I.154|B80 \| I.1.101 \| 6/24/80,http://www.penn.museum/collections/object/351417,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351418,Near Eastern,81-6-189,Cowrie Shells,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.  Two examples (a-b),,,,,,,,,,,I.189 a-b|B80 \| 6/25/80 \| I.1.109,http://www.penn.museum/collections/object/351418,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351419,Near Eastern,81-6-190,Cowrie Shells,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.  Ten examples (a-j),,,,,,,,,,,I.190 a-j|B80 \| I.1.109 \| 6/25/80,http://www.penn.museum/collections/object/351419,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351420,Near Eastern,81-6-191,Cowrie Shells,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.  Two examples (a-b),,,,,,,,,,,I.191 a-b|B80 \| I.1.105 \| 6/25/80,http://www.penn.museum/collections/object/351420,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351421,Near Eastern,81-6-192,Cowrie Shells,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.  Two examples (a-b),,,,,,,,,,,I.192 a-b|B80 \| I.1.110 \| 6/26/80,http://www.penn.museum/collections/object/351421,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351422,Near Eastern,81-6-193,Cowrie Shell,,,Jordan|Baq'ah Valley,Cowrie Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Back shaved off.,,,,,,,,,,,I.217|B80 \| I.1.109 \| 6/25/80,http://www.penn.museum/collections/object/351422,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
350496,Near Eastern,81-6-195,Murex Shell,,,Jordan|Baq'ah Valley,Murex Shell,,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,"Murex trunculus shell, blue gray color",,,,,,,,,,,I.6|B80,http://www.penn.museum/collections/object/350496,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
351424,Near Eastern,81-6-197,Shells,,,Jordan|Baq'ah Valley,Shell,Iron Age IA,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Species unidentified.  Perforated.  Six examples (a-f),,,,,,,,,,,I.152 a-f|6/24/80 \| B80 \| I.1.102,http://www.penn.museum/collections/object/351424,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
352379,Near Eastern,81-6-198,Shell,,,Jordan|Baq'ah Valley,Shell,,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,"Monodonta turbinata shell, perforated",,,,,,,,,,,"I.218|B80, 6/28/80",http://www.penn.museum/collections/object/352379,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
350804,Near Eastern,81-6-204,Pipe Fragment,,,Jordan|Baq'ah Valley,Ceramic,,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,"Impressed decoration on Exterior. No evidence of burning on interior. Light gray clay, Fired. [information taken from catalogue card]<br />Surface find: Lying on North Balk of Square.",,,impressed,,,,,,,,B80.III.2|Date excavated:  5-21-80,http://www.penn.museum/collections/object/350804,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
352120,Near Eastern,81-6-205,Glass Fragment,,,Jordan|Baq'ah Valley,Glass,,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,"Patinated, transparent, and somewhat bubbly matrix. Light green. [information from catalogue card]",,,,,,,,,,,B80.III.3|Date excavated:  6-4-1980,http://www.penn.museum/collections/object/352120,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
352121,Near Eastern,81-6-207,Bracelet Fragment,,,Jordan|Baq'ah Valley,Glass,Iron Age IIC,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,"Circular section, flattened on interior. Blue glass. [information taken from catalogue card]",,,,,,,,,,,B80.IV.2|Date excavated:  6-5-1980,http://www.penn.museum/collections/object/352121,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
179840,Near Eastern,81-6-208,Cosmetic Palette,,,Jordan|Baq'ah Valley,Limestone,Iron Age IIC,,,,"The Baq'ah Valley Project, Pat McGovern, 1981",,Incised line on exterior below rim without decoration.,,,,,,,,,,,IV(Rujm al-Henu west).13,http://www.penn.museum/collections/object/179840,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
292891,Near Eastern,61-14-2029,Whorl (uncertain)|Wheel (uncertain),,,Israel|Beth Shemesh,Limestone,,,,,"Purchased from Haverford College, 1961",,Wheel /Whorl; limestone.,,,,,,,,,,,?,http://www.penn.museum/collections/object/292891,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
292892,Near Eastern,61-14-2030,Whorl (uncertain)|Wheel (uncertain),,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Wheel/whorl.,,,,,,,,,,,33-4-102,http://www.penn.museum/collections/object/292892,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
