CatalogNumber,Country,NearestPlace,Locality,Material,Function,Period,CDLI,OriginalNumber,Date,Genre,Lines,PrimaryPublication,Transliteration,ImageURIs
BC.000040,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P294854,MLC 00039,IS.UR3.01.--.--,archival,"obv4, rev4",unpublished,dug; dug-e2 X $u3,http://deliver.odai.yale.edu/content/repository/YPM/id/592868/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592859/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592860/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592861/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592862/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592863/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592864/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592865/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592866/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592867/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592869/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592870/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592871/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592872/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592873/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592874/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592875/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592876/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592877/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592878/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592879/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592880/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592881/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592882/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592883/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592884/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592885/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592886/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592887/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592888/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592889/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592890/format/8
BC.000072,,,,clay,tablet,Late Old Babylonian,P294885,MLC 00069,ABE$.BA.D.11.01,archival,"obv9, LoE2, rev7, UE1","YOS 13, 15 (C)","by Ali-talimi, Ili-sukkal, Iddin-Ea, d.x-ni$u, and Ibni-$ama$ from Ea-nasir; witnessed",http://deliver.odai.yale.edu/content/repository/YPM/id/592891/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592892/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592893/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592894/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592895/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592896/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592897/format/3
BC.000094,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P294905,MLC 00091,IS.UR3.01.--.--,archival,"obv4, rev2",unpublished,gi,http://deliver.odai.yale.edu/content/repository/YPM/id/592898/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592899/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592900/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592901/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592902/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592903/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592904/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592905/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592906/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592907/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592908/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592909/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592910/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592911/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592912/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592913/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592914/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592915/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592916/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592917/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592918/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592919/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592920/format/3
BC.000332,,,,clay,tablet,Late Babylonian,P461303,MLC 00326,nd,canonical,"obv11+, rev9+",unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/602898/format/8
BC.000494,,,,clay,tablet,Early Neo-Babylonian,P295286,MLC 00488,$$U.NA.02.01.23,archival,"obv16, LoE1, rev17, LeE2","BRM 1, 34 (C)",archive unknown; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/592921/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592922/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592923/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592924/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592925/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592926/format/3
BC.000627,,,,clay,tablet,Old Babylonian,P295415,MLC 00621,nd,scientific,rev6+,unpublished,,http://deliver.odai.yale.edu/content/repository/YPM/id/592929/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592927/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/592928/format/8
BC.000639,Iraq,Borsippa (Birs Nimrud),,clay,tablet,Early Achaemenid,P295427,MLC 00633,CAM.AC.xx.xx.xx,archival,"obv21, rev20+",unpublished,Ea-iluta-bani archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/712580/format/3
BC.000646,,,,clay,tablet,Old Babylonian,P295434,MLC 00641,nd,canonical,obv9+,"BRM 4, 4 (C); p11 (T, Tr)",,http://deliver.odai.yale.edu/content/repository/YPM/id/712581/format/3
BC.000658,,,,clay,tablet,Old Babylonian,P504583,MLC 00653,SAIL.BA.26.01.28,"canonical, scientific","obv2+ cols, rev1+ col and date","BRM 4, 26 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/602899/format/8 http://deliver.odai.yale.edu/content/repository/YPM/id/602900/format/8
BC.000729,,,,clay,tablet,Old Babylonian,P295513,MLC 00724,nd,archival,"obv14, LoE1, rev8",unpublished,to my father from Narubtum,http://deliver.odai.yale.edu/content/repository/YPM/id/592930/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592931/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592932/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592933/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592934/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592935/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592936/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592937/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592938/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592939/format/3
BC.000757,Iraq,Borsippa (Birs Nimrud),,clay,tablet,Early Achaemenid,P295541,MLC 00752,DAR1.AC.22.08.xx?,archival,"obv7, rev9, UE1",unpublished,Ea-iluta-bani archive; legal transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/602901/format/8
BC.001020,,,,clay,tablet,Early Achaemenid,P295796,MLC 01015,DAR1.AC.34.04.13,archival,"obv4, LoE1, rev2",unpublished,archive unknown; administrative transaction,http://deliver.odai.yale.edu/content/repository/YPM/id/592751/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592749/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592750/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592752/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592753/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592754/format/3
BC.001043,Iraq,Umma (Tell Jokha),,clay,tablet,Ur III,P107348,MLC 01038,IS.UR3.05.10.--,archival,"obv4, rev2","BRM 3, 147 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/592940/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592941/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592942/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592943/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592944/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592945/format/3
BC.001212,,,,clay,tablet,Old Babylonian,P295977,MLC 01207,SAIL.BA.07.01.25,canonical,"obv20+, LoE2, rev12, LeE2","YOS 11, 85 (C)",,http://deliver.odai.yale.edu/content/repository/YPM/id/592946/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592947/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592948/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592949/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592950/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592951/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592952/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592953/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592954/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592955/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592956/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592957/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592958/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592959/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592960/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592961/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592962/format/3 http://deliver.odai.yale.edu/content/repository/YPM/id/592963/format/3
